state,ww2Per100kAdults,ww2PctAdults,ww2
New Hampshire,112.69526019039932,0.11269526019039933,1296
Rhode Island,73.86865503001825,0.07386865503001824,659
Connecticut,65.37234943110163,0.06537234943110162,1892
North Dakota,63.41873723280685,0.06341873723280685,380
Oregon,62.471924382218816,0.06247192438221882,2125
Montana,60.18986558711313,0.06018986558711313,540
Minnesota,57.58419970696291,0.057584199706962914,2555
Pennsylvania,55.474485898041145,0.055474485898041145,5732
Wisconsin,54.78539954086661,0.0547853995408666,2554
Delaware,46.46613460300115,0.04646613460300115,381
Michigan,46.44589828840366,0.04644589828840366,3681
Washington,44.54314082672458,0.044543140826724587,2746
Virginia,44.350771141534125,0.04435077114153412,3031
Florida,43.53840340061426,0.04353840340061425,7937
Maine,41.598716282801504,0.041598716282801505,477
Utah,41.09343141019294,0.04109343141019294,1021
Maryland,39.95154344745915,0.03995154344745915,1925
Missouri,39.11494858852277,0.03911494858852277,1886
Hawaii,37.5813057094676,0.0375813057094676,429
Illinois,37.016844594367406,0.03701684459436741,3644
Ohio,36.42610989672644,0.03642610989672644,3354
Grand Total,36.0641429387604,0.036064142938760396,94518
South Carolina,36.01022756666857,0.03601022756666857,1523
Massachusetts,35.32052983268423,0.03532052983268423,1999
California,35.06935429268163,0.03506935429268163,10703
Indiana,34.37002660691249,0.03437002660691249,1813
New York,33.68071400551446,0.033680714005514464,5258
New Jersey,32.772244847951754,0.032772244847951756,2386
Arizona,32.522215819612846,0.03252221581961284,1902
Mississippi,31.06381622964922,0.031063816229649217,702
Tennessee,30.598868453844577,0.030598868453844578,1700
Oklahoma,29.800302343502256,0.029800302343502255,920
Idaho,28.85031494927153,0.02885031494927153,432
Kentucky,28.268075967034637,0.028268075967034637,992
North Carolina,27.99196316497679,0.02799196316497679,2379
District of Columbia,27.879358412686916,0.027879358412686916,154
Nevada,26.951383849901525,0.026951383849901527,676
Colorado,25.885034418303015,0.025885034418303015,1207
Iowa,25.27371106092256,0.025273711060922563,626
Vermont,25.14882851501798,0.02514882851501798,134
Wyoming,24.86204863280734,0.024862048632807342,113
South Dakota,24.088784376702705,0.024088784376702706,168
Nebraska,22.572745346708686,0.022572745346708684,338
Texas,22.526198038058812,0.022526198038058814,5168
Kansas,22.393285753908028,0.02239328575390803,503
Arkansas,22.01408562801953,0.022014085628019528,520
Georgia,21.824273727508217,0.02182427372750822,1853
West Virginia,19.818613839599,0.019818613839599,281
Alabama,19.68509875734986,0.019685098757349858,783
Louisiana,12.262590543546455,0.012262590543546455,430
New Mexico,4.569988166135906,0.004569988166135907,76
Alaska,0.0,0.0,0
