state,gulfWarPer100kAdults,gulfWarPctAdults,gulfWar
Alaska,8021.165121285394,8.021165121285394,44750
Virginia,6264.125742557162,6.264125742557162,428100
Hawaii,5557.215128884606,5.5572151288846054,63437
Wyoming,5033.574766560764,5.033574766560765,22878
South Carolina,4820.499773724308,4.8204997737243085,203876
Oklahoma,4817.672356688888,4.817672356688888,148732
Alabama,4616.595619298738,4.616595619298738,183631
South Dakota,4586.189096957357,4.586189096957357,31985
North Dakota,4560.808555521436,4.560808555521436,27328
Montana,4504.877051053267,4.504877051053267,40416
New Mexico,4400.4776840262075,4.400477684026208,73181
Mississippi,4385.440893788299,4.385440893788299,99105
Colorado,4362.325286740557,4.362325286740557,203412
North Carolina,4284.817695721359,4.284817695721359,364161
Georgia,4183.723873588341,4.183723873588342,355221
Washington,4115.617512948494,4.115617512948493,253720
Kansas,4047.753347974298,4.0477533479742975,90921
Arkansas,3990.3916983189706,3.990391698318971,94258
Maryland,3960.1007567548722,3.9601007567548723,190811
Nevada,3924.695600864358,3.9246956008643576,98440
West Virginia,3915.833661880342,3.915833661880342,55521
Idaho,3864.0054922451422,3.864005492245142,57859
Texas,3851.230153582642,3.851230153582642,883556
Louisiana,3803.1426452974392,3.8031426452974393,133361
Tennessee,3801.4054240274195,3.8014054240274193,211197
Nebraska,3762.1019633613623,3.7621019633613626,56333
Missouri,3761.1532563505793,3.761153256350579,181351
Maine,3697.838087679978,3.697838087679978,42402
Arizona,3664.2380448368845,3.6642380448368845,214296
Kentucky,3618.7981565339005,3.6187981565339005,126993
Florida,3548.7227208205336,3.5487227208205336,646928
Grand Total,3374.0734243789316,3.3740734243789317,8842874
Illinois,3344.742119876674,3.3447421198766745,329262
New Hampshire,3327.0319059759795,3.3270319059759794,38261
Delaware,3322.9993950865414,3.3229993950865415,27247
Indiana,3114.8760792766557,3.1148760792766557,164308
Ohio,3102.3120805336325,3.1023120805336326,285651
Oregon,3053.510069592254,3.053510069592254,103866
Iowa,3023.3979656681263,3.0233979656681265,74886
Vermont,2912.759839948351,2.912759839948351,15520
Utah,2854.8866569909947,2.854886656990995,70932
Rhode Island,2769.121781277042,2.769121781277042,24704
Wisconsin,2752.6767408307387,2.7526767408307387,128325
District of Columbia,2672.2546073355297,2.6722546073355296,14761
Pennsylvania,2624.9729257023205,2.62497292570232,271230
Minnesota,2527.7097197396156,2.5277097197396157,112154
Michigan,2417.4074331102097,2.41740743311021,191588
California,2294.2428590957056,2.2942428590957054,700192
Connecticut,2079.3728124276568,2.079372812427657,60181
Massachusetts,1859.6197115060115,1.8596197115060116,105247
New York,1712.7328472412432,1.7127328472412433,267380
New Jersey,1655.0670409423683,1.6550670409423682,120498
