state,peacetimeVeteransPer100k,peacetimeVeteransPct,peacetimeVeterans
Alaska,7972.664526878701,7.972664526878701,58472
Virginia,6646.8571995037,6.6468571995037005,579320
Hawaii,6403.6350511240025,6.403635051124003,91901
Wyoming,6282.434762360523,6.282434762360523,36693
Montana,6233.426199581219,6.233426199581219,70613
Maine,5876.743362933305,5.876743362933306,82023
South Carolina,5812.427713124737,5.8124277131247375,312334
New Mexico,5776.044033899443,5.776044033899443,122127
Oklahoma,5674.321332154528,5.674321332154529,230027
South Dakota,5593.2767551598035,5.5932767551598035,51420
West Virginia,5476.616474706382,5.476616474706382,96940
Alabama,5386.194060528519,5.386194060528519,275152
Washington,5271.32120293669,5.271321202936689,411842
North Carolina,5156.55451146607,5.15655451146607,558738
Arkansas,5154.687567232078,5.154687567232079,158132
Colorado,5139.486968342575,5.139486968342575,302079
North Dakota,5138.622778170389,5.138622778170389,40283
Nevada,5075.362159129616,5.075362159129615,162116
Arizona,5051.670330427443,5.051670330427443,375407
Missouri,4939.465694537064,4.9394656945370645,306057
Kansas,4924.153541553167,4.924153541553167,144797
New Hampshire,4923.062877749358,4.923062877749359,69024
Idaho,4918.497541132962,4.918497541132962,96635
Mississippi,4915.110096642843,4.915110096642843,144489
Florida,4862.594858740936,4.862594858740936,1099468
Oregon,4815.46800435966,4.815468004359659,203856
Tennessee,4788.388784435085,4.788388784435084,341244
Georgia,4763.588599636221,4.763588599636221,525387
Nebraska,4699.756720021795,4.699756720021796,92979
Maryland,4640.635262019208,4.640635262019209,286803
Delaware,4618.515539447035,4.618515539447034,47658
Louisiana,4498.366657199597,4.498366657199597,205744
Kentucky,4495.494408718749,4.495494408718749,203473
Vermont,4390.823273571968,4.390823273571967,28429
Iowa,4362.5140473788,4.3625140473787996,139906
Ohio,4328.396516695536,4.328396516695536,510142
Grand Total,4305.662786362488,4.305662786362488,14420306
Wisconsin,4221.314491482341,4.221314491482341,249520
Texas,4167.5555048943725,4.167555504894372,1271242
Indiana,4114.8762954848735,4.114876295484874,282371
Illinois,4021.3506486096985,4.021350648609698,504667
Pennsylvania,3996.464039430682,3.996464039430682,518009
Rhode Island,3933.439298077853,3.933439298077853,43109
Minnesota,3873.811306023181,3.873811306023181,222276
Michigan,3744.716810691682,3.7447168106916817,375867
District of Columbia,3264.935814731683,3.264935814731683,22168
Utah,3209.9045742003327,3.2099045742003325,109706
Connecticut,3109.9122630471948,3.1099122630471947,112491
California,3000.66266834608,3.00066266834608,1169214
Massachusetts,2872.325945143249,2.8723259451432495,201103
New York,2529.239879627306,2.5292398796273057,495003
New Jersey,2522.5811097187,2.5225811097187,234369
